Unnamed: 0, ARCHIDIÓCESIS DE MADRID,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5, EJERCICIO DE 2020,Unnamed: 7,Unnamed: 8,Unnamed: 9
,ESTADO DE INGRESOS Y GASTOS,,,,,,,,
,INGRESOS,,,%,,GASTOS,,,%
,,,,,,,,,
1.0,APORTACIONES DE LOS FIELES,,47276042.72,44.5608961736019,1.0,ACCIONES PASTORALES Y ASISTENCIALES,,46792456.08,44.01748081484692
,1.1 Colectas parroquiales,10218112.2,,,,1.1 Actividades pastorales,41816984.29,,
,1.2 Suscripciones,15197539.0,,,,1.2 Entregas a Ia Iglesia Universal,455099.04,,
,1.3 Donativos y limosnas,9700395.64,,,,1.3 Entregas a Entidades Diocesanas y otras Instituc.,4520372.75,,
,1.4 Colectas para instituciones de la Iglesia,2784078.16,,,," (Cáritas, Manos Unidas, Domund, Óbolo,...)",,,
,1.5 Cáritas Parroquiales,6998562.81,,,,,,,
,1.6 Herencias y Legados,2377354.91,,,2.0,RETRIBUCIONES,,36743857.019999996,34.5648028963503
,,,,,,2.1 Percepciones sacerdotes y religiosas,30168250.49,,
2.0,ASIGNACIÓN TRIBUTARIA ,,19245168.87,18.139884865970554,,"2,2 Seguridad Social",6575606.53,,
,2.1 Fondo Común Interdiocesano,19245168.87,,,,,,,
,,,,,,,,,
3.0,INGRESOS DE PATRIMONIO Y OTRAS ACTIVID,,5808217.27,5.4746411042711625,4.0,CONSERVACIÓN EDIFICIOS ,,7826783.18,7.362624391389215
,3.1 Alquileres de inmuebles,2190691.18,,,,4.1 Reparaciones y conservación de Parroquias y otros,7826783.18,,
,"3,2 Financieros",1100197.49,,,,edificios,,,
,3.3 Actividades económicas,2517328.6,,,,,,,
,,,,,5.0,GASTOS FINANCIEROS,,1224649.06,1.1520225912336917
4.0,OTROS INGRESOS CORRIENTES,,29134613.65,27.46136138349895,,5.1 Pago de intereses de préstamos,1224649.06,,
,4.1 Ingresos por ventas y servicios,11039064.57,,,,,,,
,4.2 Subvenciones y dotaciones públicas ,6512930.96,,,,,,,
,4.3 Ingresos de Instituciones Diocesanas,11582618.12,,,6.0,INVERSIONES Y GASTOS EXTRAORDINARIOS ,,13716512.0,12.903069306179868
,,,,,,6.1 Obra ejecutada de templos nuevos,1378156.59,,
5.0,INGRESOS EXTRAORDINARIOS,,4629072.260000001,4.363216472657437,,6.2 Obras presupuestadas pendientes de ejecución,300000.0,,
,5.1 Plusvalías enajenaciones de patrimonio,86994.28,,,,6.3 Minusvalias enajenacion de patrimonio,2089314.51,,
,5.2 Otros ingresos extraordinarios,4542077.98,,,, 6.4 Otros Gastos Extraordinarios,9949040.9,,
,,,,,,,,,
,,,,,,,,,
,TOTAL INGRESOS,,106093114.77,,,TOTAL GASTOS  E INVERSIONES,,106304257.34,
